advertisers_company_name,api_text,clicks,impressions
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,73255
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,51
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,20
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,35589
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,103352
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,135
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,3
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,1
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,4
Stonyfield,"Answer for a chance 2 win a case of yogurt! Which new flavor of #StonyfieldGreek do you most want to try? http://t.co/vuajXVE7T5",0,2
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,168403
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,1292
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,9
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,3
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,17
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,5
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,1
"Kinetic Social","Dir. of Social Stephen Blake writes why you should be using Promoted Accounts in @twitter Timeline: http://t.co/owRC4iMpTM @Something_found",0,19929
"Kinetic Social","Dir. of Social Stephen Blake writes why you should be using Promoted Accounts in @twitter Timeline: http://t.co/owRC4iMpTM @Something_found",0,4041
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,11831
Stonyfield,"Chocolate or Caramel? What’s your #StonyfieldGreek dessert choice? Answer to win a case! http://t.co/nsekZ1rQtH",0,19
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,87466
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,116506
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,59185
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,22
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,72662
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,106055
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,54850
Stonyfield,"Answer for a chance 2 win a case! What’s your favorite savory mix in? Cucumber? Mint? Other? #StonyfieldGreek http://t.co/2MJmBRZNFN",0,7558
Stonyfield,"Answer for a chance 2 win a case! What’s your favorite savory mix in? Cucumber? Mint? Other? #StonyfieldGreek http://t.co/2MJmBRZNFN",0,10
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,263
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,14
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,38
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,9
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,17
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,98
Stainmaster,"Is your kitty the original smelly cat? Learn how we can help #UnShameYourPet. http://t.co/ZQ0xRf1rHu http://t.co/FtEcQYSm8x",0,182
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,1152
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,38
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,35
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,23
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,90
Stainmaster,"Butter, wine and gum, oh my. Accidents happen, we can help! Stain Removal Tips: http://t.co/sPrEUrzW7l",0,46
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,555
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,173
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,38
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,53
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,32
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,13
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,5
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,1
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,216
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,45
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,49
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,8
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,9
Stainmaster,"Find the ideal carpet for your lifestyle. Download Stainmaster's SHOWRoom app for your iPad today! http://t.co/wOp4Z6dFCl",0,12
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,105128
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,59965
H&M,"Choose your favorite #BeckhamforHM Super Bowl ad! Vote #covered or #uncovered: http://t.co/DDwRJ9rRDF http://t.co/ZY4Lj6Pk8X",0,62701
